ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
SRR11817624	33287	30546	0	2	12	2729	0
SRR11939516	33287	30548	0	2	10	2729	0
SRR15731670	33287	30543	0	2	15	2729	0
SRR15731672	33287	30551	0	1	7	2729	0
SRR15731673	33287	30491	0	2	52	2729	15
SRR15731677	33287	30327	0	1	231	2729	0
SRR15731678	33287	30547	0	3	11	2729	0
SRR15731680	33287	30535	0	2	23	2729	0
SRR15731687	33287	30546	0	1	12	2729	0
SRR15731692	33287	30444	0	1	114	2729	0
SRR15731693	33287	30532	0	2	26	2729	0
SRR15731694	33287	30534	0	2	24	2729	0
SRR15731696	33287	30499	0	6	45	2729	14
SRR15731697	33287	30543	0	1	15	2729	0
SRR15731698	33287	30547	0	4	11	2729	0
SRR15731699	33287	30550	0	2	8	2729	0
SRR15731701	33287	30549	0	3	9	2729	0
SRR15731707	33287	30526	0	3	11	2729	21
SRR15731708	33287	30453	0	7	105	2729	0
SRR15731709	33287	30525	0	2	33	2729	0
SRR15731713	33287	30132	0	4	426	2729	0
SRR15731715	33287	30503	0	2	55	2729	0
SRR15731722	33287	30547	0	2	11	2729	0
SRR15731723	33287	30533	0	2	25	2729	0
SRR15731725	33287	30520	0	2	38	2729	0
SRR15731733	33287	30549	0	3	9	2729	0
SRR15731734	33287	30533	0	1	25	2729	0
SRR15731736	33287	30548	0	1	10	2729	0
SRR15731744	33287	30502	0	4	56	2729	0
SRR15731748	33287	30545	0	3	13	2729	0
SRR15731752	33287	30535	0	2	23	2729	0
SRR15731754	33287	30544	0	1	14	2729	0
SRR15731770	33287	30318	0	2	215	2729	25
SRR15731772	33287	30546	0	2	10	2729	2
SRR15731777	33287	30529	0	2	13	2729	16
SRR15731781	33287	30495	0	2	51	2729	12
SRR15731783	33287	30508	0	5	15	2729	35
SRR15731784	33287	30529	0	3	13	2729	16
SRR15731790	33287	30497	0	5	61	2729	0
SRR15731797	33287	30534	0	1	24	2729	0
SRR15731806	33287	30548	0	2	10	2729	0
SRR15731809	33287	30547	0	2	11	2729	0
SRR15731811	33287	30543	0	2	15	2729	0
SRR15731812	33287	30536	0	1	22	2729	0
SRR15731813	33287	30547	0	3	11	2729	0
SRR15731823	33287	30545	0	1	13	2729	0
SRR15731828	33287	30396	90	3	71	2729	1
SRR15731832	33287	30551	0	4	7	2729	0
SRR15731835	33287	30547	0	2	11	2729	0
SRR15731836	33287	30549	0	1	9	2729	0
SRR15731840	33287	30545	0	1	13	2729	0
SRR15731847	33287	30548	0	2	10	2729	0
SRR15731850	33287	30548	0	3	10	2729	0
SRR15731852	33287	30549	0	3	9	2729	0
SRR15731853	33287	30551	0	6	7	2729	0
SRR15731856	33287	30507	0	2	51	2729	0
SRR15731857	33287	30547	0	2	11	2729	0
SRR15731874	33287	30549	0	1	9	2729	0
SRR15731876	33287	30551	0	1	7	2729	0
SRR15731878	33287	30549	0	1	9	2729	0
SRR15731879	33287	30548	0	4	10	2729	0
SRR15731883	33287	30524	18	3	15	2729	1
SRR15731884	33287	30530	18	3	9	2729	1
SRR15731885	33287	30550	0	4	8	2729	0
SRR15731888	33287	30509	0	4	49	2729	0
SRR15731889	33287	30533	9	1	14	2729	2
SRR15731897	33287	30527	0	1	31	2729	0
SRR15731913	33287	30548	0	3	10	2729	0
SRR15731915	33287	30547	0	4	11	2729	0
SRR15731917	33287	30410	0	1	148	2729	0
SRR15731918	33287	30547	0	1	11	2729	0
SRR15731919	33287	30205	0	7	353	2729	0
SRR15731922	33287	30537	0	3	21	2729	0
SRR15731923	33287	30438	0	4	120	2729	0
SRR15731924	33287	30157	0	1	401	2729	0
SRR15731927	33287	30528	0	2	30	2729	0
SRR15731930	33287	30544	0	1	14	2729	0
SRR15731941	33287	30549	0	2	9	2729	0
SRR15731942	33287	30231	0	2	327	2729	0
SRR15731951	33287	30552	0	2	6	2729	0
SRR15731953	33287	30535	0	3	23	2729	0
SRR15731956	33287	30548	0	1	10	2729	0
SRR15731958	33287	30549	0	2	9	2729	0
SRR15731959	33287	30547	0	2	11	2729	0
SRR15731967	33287	30249	0	4	90	2729	219
SRR15731968	33287	30512	0	1	46	2729	0
SRR15731976	33287	30481	0	1	65	2729	12
SRR15731981	33287	30544	0	2	14	2729	0
SRR15731982	33287	30549	0	3	9	2729	0
